epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1285.69,1.04922,1.52496,1.23269,0.75482,0.65426,0.75431,0.47612,1.15769,1.40394,1.37753,0.000663492,0.000663492,0.000663492
2,2539.01,1.27352,1.51055,1.37879,0.61602,0.58448,0.63372,0.35195,1.42561,1.68621,1.57224,0.00130382,0.00130382,0.00130382
3,3790.79,1.35025,1.51079,1.42956,0.60098,0.53111,0.57709,0.32067,1.47249,1.71182,1.6518,0.00191775,0.00191775,0.00191775
4,5054.6,1.35309,1.4822,1.4363,0.70029,0.56049,0.65277,0.36788,1.42734,1.43629,1.62476,0.0018812,0.0018812,0.0018812
5,6314.93,1.31069,1.436,1.40933,0.7507,0.66026,0.74942,0.44151,1.28208,1.25922,1.47387,0.0018416,0.0018416,0.0018416
6,7572.96,1.27857,1.4019,1.37931,0.70081,0.60345,0.70039,0.42156,1.32809,1.31822,1.51477,0.001802,0.001802,0.001802
7,8829.3,1.25424,1.36903,1.37541,0.72073,0.65678,0.73325,0.45241,1.1935,1.28912,1.39277,0.0017624,0.0017624,0.0017624
8,10081.3,1.23321,1.34329,1.36392,0.75072,0.62931,0.73923,0.45079,1.30417,1.24689,1.47692,0.0017228,0.0017228,0.0017228
9,11335,1.20612,1.30766,1.34523,0.74649,0.68553,0.76165,0.48775,1.15043,1.1521,1.37415,0.0016832,0.0016832,0.0016832
10,12588.8,1.18535,1.27991,1.33168,0.75687,0.61844,0.72656,0.45696,1.19043,1.20656,1.42874,0.0016436,0.0016436,0.0016436
11,13845.4,1.16423,1.2402,1.31577,0.78489,0.69153,0.79317,0.51913,1.06415,1.16716,1.31112,0.001604,0.001604,0.001604
12,15101.9,1.13433,1.20198,1.29686,0.76577,0.70459,0.79199,0.52797,1.08757,1.04526,1.33507,0.0015644,0.0015644,0.0015644
13,16356.8,1.13493,1.20019,1.30339,0.79446,0.68671,0.79529,0.52604,1.11285,0.99372,1.33954,0.0015248,0.0015248,0.0015248
14,17610.9,1.1082,1.16866,1.27496,0.80837,0.67515,0.79881,0.54912,1.0199,1.00733,1.27002,0.0014852,0.0014852,0.0014852
15,18867.6,1.09088,1.14654,1.26326,0.80228,0.69228,0.80884,0.54593,1.04303,0.95626,1.29197,0.0014456,0.0014456,0.0014456
16,20121.4,1.08128,1.13712,1.26655,0.81311,0.73388,0.8384,0.58087,1.01063,0.90888,1.26954,0.001406,0.001406,0.001406
17,21373.1,1.06658,1.11711,1.25891,0.82086,0.71445,0.82251,0.56865,1.01179,0.94124,1.26558,0.0013664,0.0013664,0.0013664
18,22627.8,1.05784,1.10186,1.25277,0.83654,0.70015,0.82786,0.57518,0.99007,0.90238,1.25362,0.0013268,0.0013268,0.0013268
19,23882.2,1.03248,1.08701,1.23498,0.82623,0.72189,0.837,0.5749,0.99895,0.88799,1.26843,0.0012872,0.0012872,0.0012872
20,25135.6,1.0385,1.07307,1.23773,0.83326,0.69864,0.83198,0.57401,0.98591,0.90902,1.24755,0.0012476,0.0012476,0.0012476
